ÆÚÊý,ºì1,ºì2,ºì3,ºì4,ºì5,ºì6,À¶1
12050,15,7,13,17,24,19,11
12049,20,19,4,12,13,32,2
12048,30,5,1,14,24,22,10
12047,6,33,11,7,32,16,11
12046,20,33,19,4,12,23,6
12045,21,20,27,8,30,11,9
12044,9,6,25,10,14,22,3
12043,2,11,33,26,9,21,3
12042,5,6,19,24,28,11,16
12041,20,24,8,32,11,15,2
12040,22,9,31,8,25,3,10
12039,2,22,1,29,13,5,8
12038,15,19,11,9,33,10,16
12037,24,19,14,5,28,33,9
12036,2,19,26,11,18,13,9
12035,24,12,11,21,26,9,5
12034,2,23,33,3,8,32,16
12033,27,16,3,17,15,2,4
12032,2,24,10,22,17,1,4
12031,22,4,24,31,27,16,3
12030,18,21,31,10,9,17,8
12029,7,25,26,15,4,28,3
12028,30,15,10,28,21,20,11
12027,25,30,22,31,16,4,12
12026,3,25,15,9,24,7,16
12025,25,3,9,27,8,17,6
12024,25,28,4,12,19,21,13
12023,9,15,23,33,5,24,2
12022,26,8,12,27,24,4,4
12021,1,18,30,22,15,16,3
12020,12,3,23,29,18,8,11
12019,30,22,7,20,18,14,16
12018,22,26,5,32,6,3,15
12017,28,25,19,9,6,14,10
12016,22,17,12,25,2,5,8
12015,3,1,21,10,23,6,15
12014,1,5,28,30,2,16,12
12013,24,6,30,8,32,29,13
12012,15,17,27,18,23,20,1
12011,14,15,20,26,16,4,5
12010,13,3,25,19,1,26,10
12009,27,24,16,4,33,26,11
12008,29,20,1,12,23,24,8
12007,19,32,28,17,10,27,4
12006,22,25,2,29,32,33,8
12005,7,31,27,33,18,9,6
12004,1,11,23,10,5,21,16
12003,24,8,6,31,3,29,9
12002,32,3,7,2,10,9,13
12001,4,5,15,1,9,17,6
11153,10,25,5,9,8,20,13
11152,12,4,26,11,21,10,13
11151,31,7,11,16,33,19,10
11150,8,10,27,22,12,15,13
11149,5,31,6,23,4,7,16
11148,26,23,22,25,5,14,14
11147,8,18,30,4,12,17,10
11146,23,33,26,11,28,32,10
11145,4,2,14,15,30,26,4
11144,1,2,16,10,9,24,3
11143,8,7,14,12,15,30,16
11142,31,16,29,15,12,26,2
11141,2,29,19,6,4,24,11
11140,4,18,27,29,20,22,6
11139,27,8,30,24,20,31,3
11138,28,15,32,1,5,24,7
11137,30,11,18,2,33,23,13
11136,6,2,31,22,20,4,7
11135,17,20,25,12,26,13,12
11134,7,6,30,31,2,1,10
11133,14,21,20,25,31,12,16
11132,25,5,12,13,2,33,7
11131,17,21,2,7,9,25,1
11130,32,18,23,14,25,7,15
11129,23,26,10,21,11,7,6
11128,19,23,14,9,11,17,12
11127,23,22,16,19,29,27,11
11126,26,13,18,7,3,23,16
11125,15,32,24,27,3,10,8
11124,19,9,31,26,18,32,16
11123,19,14,4,28,5,1,16
11122,27,31,12,18,26,10,3
11121,14,4,22,33,32,25,2
11120,30,28,17,14,33,4,7
11119,12,9,32,14,19,28,1
11118,6,14,11,21,5,20,10
11117,8,19,26,10,30,28,4
11116,27,12,1,7,17,11,5
11115,17,33,9,7,12,8,16
11114,14,16,15,30,32,1,9
11113,33,25,6,11,32,10,5
11112,3,5,16,18,23,24,15
11111,1,5,3,20,25,27,4
11110,33,26,21,28,12,14,12
11109,16,33,1,3,15,9,15
11108,2,22,26,17,29,33,10
11107,4,22,16,17,9,29,15
11106,2,11,12,14,24,32,14
11105,4,6,23,28,27,25,1
11104,9,10,29,20,16,25,9
11103,5,15,10,16,4,13,12
11102,21,5,31,13,1,27,11
11101,10,23,29,6,31,19,6
11100,23,21,7,31,11,32,5
11099,26,21,27,12,10,13,14
11098,21,3,7,22,32,20,5
11097,26,20,9,17,21,19,16
11096,14,13,4,19,1,7,15
11095,7,3,10,24,8,23,5
11094,11,9,12,19,18,17,5
11093,23,13,11,4,30,7,9
11092,17,32,31,5,10,26,4
11091,28,21,9,30,23,15,3
11090,25,18,5,2,21,14,16
11089,24,11,29,30,2,1,12
11088,20,17,9,3,29,21,4
11087,5,18,4,3,2,28,1
11086,12,24,6,17,9,7,9
11085,3,24,11,6,31,21,10
11084,32,12,16,18,10,9,15
11083,7,28,29,16,18,24,6
11082,26,25,20,16,7,17,4
11081,23,25,32,14,19,6,12
11080,7,32,31,2,9,25,9
11079,15,29,16,3,24,14,5
11078,5,13,20,22,29,3,9
11077,7,26,15,29,1,8,10
11076,33,26,32,19,6,21,13
11075,9,32,12,31,7,10,13
11074,26,32,21,28,29,2,1
11073,21,5,4,12,3,17,14
11072,18,10,6,1,27,11,12
11071,28,15,30,2,1,22,2
11070,21,12,3,1,5,28,12
11069,30,24,2,18,13,16,12
11068,15,10,19,24,3,7,10
11067,24,19,27,17,20,25,12
11066,30,14,32,4,17,6,12
11065,16,29,25,4,27,23,3
11064,6,29,30,7,3,33,2
11063,19,15,18,13,4,6,5
11062,4,29,10,8,9,30,3
11061,19,3,8,21,2,13,3
11060,27,10,21,11,31,13,1
11059,29,27,33,31,24,26,16
11058,32,18,7,30,22,33,6
11057,33,21,6,4,26,20,2
11056,16,25,20,23,19,13,10
11055,29,13,17,16,8,32,16
11054,22,33,8,17,16,11,8
11053,22,3,30,12,6,10,15
11052,5,19,28,4,8,27,8
11051,11,1,16,7,14,15,14
11050,19,28,5,22,4,29,15
11049,31,11,1,27,17,18,14
11048,18,10,25,14,26,27,15
11047,13,25,23,4,33,27,14
11046,30,29,17,18,9,26,8
11045,17,32,26,16,20,2,8
11044,16,27,26,31,14,3,9
11043,25,14,31,4,13,17,4
11042,13,19,5,17,15,21,15
11041,13,12,10,4,32,30,13
11040,11,5,28,14,24,26,13
11039,3,10,24,16,7,29,13
11038,2,23,24,19,15,14,12
11037,6,25,4,3,17,1,11
11036,24,2,22,20,11,31,5
11035,18,13,27,31,20,14,2
11034,13,19,31,24,17,14,8
11033,8,13,29,12,19,2,4
11032,5,15,14,7,13,3,15
11031,29,28,24,32,17,16,12
11030,9,33,25,24,19,2,10
11029,10,1,31,4,20,9,7
11028,16,5,17,14,4,1,1
11027,26,21,13,25,18,22,1
11026,19,17,8,26,7,21,12
11025,25,31,26,32,8,33,9
11024,31,10,19,26,5,7,14
11023,3,6,2,21,22,25,5
11022,16,21,2,17,7,14,5
11021,31,18,2,25,14,1,8
11020,19,16,24,17,30,12,5
11019,12,19,32,2,4,33,16
11018,15,28,30,13,33,18,1
11017,23,6,26,33,15,2,8
11016,17,16,22,3,4,29,13
11015,26,29,3,13,6,27,7
11014,26,7,23,5,11,10,16
11013,3,22,1,13,16,21,8
11012,11,26,7,13,8,15,13
11011,18,19,24,12,1,21,10
11010,15,9,1,19,4,5,13
11009,17,18,26,23,25,24,4
11008,31,24,10,12,13,17,15
11007,9,17,1,24,31,26,5
11006,1,13,18,3,5,16,5
11005,9,12,14,20,22,6,13
11004,13,6,26,10,8,4,5
11003,27,13,21,14,22,23,4
11002,28,6,17,12,8,33,5
11001,26,3,32,9,24,20,10
10153,6,30,19,3,12,31,13
10152,21,4,9,17,25,31,1
10151,2,13,14,17,19,26,14
10150,18,30,17,23,2,29,6
10149,7,25,16,2,8,30,9
10148,18,23,7,3,27,1,12
10147,8,30,18,24,2,15,3
10146,22,25,18,32,17,1,1
10145,27,3,31,24,21,28,8
10144,21,15,19,2,3,8,11
10143,16,30,9,18,26,31,14
10142,2,16,26,27,23,18,10
10141,23,3,7,2,27,18,6
10140,29,18,1,12,26,13,15
10139,26,18,11,31,20,13,9
10138,1,26,24,23,30,21,5
10137,33,13,9,19,10,7,6
10136,26,10,24,4,33,23,10
10135,4,10,13,26,30,25,10
10134,27,16,15,22,28,9,6
10133,32,17,9,3,21,26,1
10132,12,10,2,33,18,24,15
10131,15,16,6,26,5,19,6
10130,31,7,2,1,15,21,16
10129,32,14,4,8,28,25,16
10128,28,4,24,19,11,20,12
10127,17,4,25,8,33,1,1
10126,28,3,13,18,27,20,5
10125,23,28,7,13,6,29,9
10124,6,8,12,11,25,2,2
10123,18,29,6,32,12,15,10
10122,12,16,25,27,9,2,6
10121,8,30,18,13,25,11,15
10120,10,6,29,1,5,2,16
10119,31,25,27,30,17,7,9
10118,8,5,15,13,11,25,5
10117,8,24,28,1,22,20,1
10116,26,10,22,20,5,9,7
10115,22,1,24,29,33,25,15
10114,1,17,15,25,8,11,1
10113,5,18,20,15,28,10,10
10112,8,1,24,18,30,29,16
10111,17,4,18,7,8,13,10
10110,3,1,24,12,26,27,1
10109,25,18,32,15,29,4,15
10108,4,23,24,20,8,2,7
10107,8,15,22,12,17,33,16
10106,26,15,29,8,6,2,16
10105,19,8,21,1,9,31,11
10104,17,23,27,32,24,7,2
10103,20,33,9,6,14,17,9
10102,4,20,11,16,22,29,10
10101,18,26,25,4,9,21,6
10100,23,6,12,22,1,26,8
10099,30,24,27,3,4,17,6
10098,1,16,29,33,8,3,7
10097,18,16,24,26,21,10,1
10096,7,12,21,24,28,23,3
10095,27,11,9,25,17,16,14
10094,27,32,31,7,3,5,10
10093,33,28,10,32,9,19,6
10092,3,13,28,19,30,27,2
10091,13,20,24,22,16,6,16
10090,15,6,1,31,25,10,14
10089,23,8,16,26,7,9,1
10088,6,27,23,15,30,5,12
10087,8,25,1,16,30,17,10
10086,31,5,29,28,21,30,8
10085,27,12,24,1,13,8,8
10084,2,18,10,20,30,14,3
10083,20,2,22,23,31,21,12
10082,13,31,8,1,27,14,2
10081,24,27,3,2,26,9,5
10080,14,10,16,13,8,23,16
10079,18,14,11,22,8,12,2
10078,3,11,17,23,9,1,12
10077,21,8,14,20,24,2,9
10076,1,31,32,12,29,14,15
10075,22,5,13,9,15,12,14
10074,18,17,19,10,2,29,15
10073,16,23,20,1,27,31,2
10072,31,30,22,23,6,8,1
10071,14,13,26,5,20,17,1
10070,13,33,8,27,31,23,7
10069,14,32,24,22,12,20,11
10068,13,20,18,23,3,28,13
10067,1,14,21,7,10,25,1
10066,1,22,31,32,21,3,7
10065,32,30,17,2,8,7,12
10064,26,8,30,31,14,25,11
10063,6,2,23,17,24,10,3
10062,20,11,15,31,13,33,3
10061,2,22,4,26,19,16,12
10060,27,18,15,1,22,8,9
10059,18,1,11,12,9,30,10
10058,4,19,11,1,17,29,12
10057,12,25,11,5,32,19,5
10056,32,13,3,1,2,8,7
10055,13,20,3,2,19,23,8
10054,8,1,12,25,14,6,6
10053,28,24,27,30,3,22,14
10052,1,2,29,27,19,23,10
10051,28,27,17,23,32,4,3
10050,30,7,28,22,26,21,11
10049,6,10,27,1,28,26,2
10048,23,8,6,1,33,10,2
10047,13,20,32,21,3,10,15
10046,23,21,12,32,11,27,5
10045,20,2,13,29,3,4,1
10044,3,9,27,23,31,21,5
10043,19,22,33,10,4,28,4
10042,32,11,20,31,3,6,10
10041,3,29,25,13,5,19,12
10040,24,25,19,32,30,12,11
10039,8,25,17,32,23,21,12
10038,1,16,6,7,11,13,1
10037,3,19,21,16,24,26,6
10036,29,28,6,14,30,13,8
10035,21,18,10,9,11,19,10
10034,25,22,11,13,6,32,12
10033,8,12,11,25,29,10,9
10032,28,18,21,29,8,33,8
10031,7,25,5,13,28,24,4
10030,6,25,3,31,10,16,5
10029,5,1,16,14,22,17,3
10028,12,6,3,32,16,1,12
10027,15,25,3,4,30,26,13
10026,22,2,4,19,8,5,12
10025,5,7,13,4,25,10,11
10024,7,26,31,29,27,16,14
10023,11,2,9,22,24,27,11
10022,32,29,31,18,2,1,2
10021,19,25,17,9,16,2,4
10020,24,14,22,5,6,26,9
10019,27,24,2,22,26,10,6
10018,29,11,32,30,33,28,2
10017,6,1,23,12,11,3,11
10016,10,33,30,12,8,2,16
10015,21,23,28,16,4,1,6
10014,1,3,26,7,28,14,2
10013,3,2,16,1,18,23,12
10012,25,13,14,8,33,2,10
10011,8,7,30,24,14,22,7
10010,26,8,12,15,7,22,8
10009,21,13,9,24,32,1,6
10008,5,13,15,7,30,18,14
10007,22,33,28,14,30,27,14
10006,13,14,3,5,7,18,5
10005,18,17,5,8,6,3,14
10004,28,16,13,12,23,1,7
10003,14,27,22,28,26,31,4
10002,7,30,6,33,23,3,13
10001,27,32,29,7,17,18,13
9154,12,18,14,25,1,7,16
9153,25,7,8,6,20,21,10
9152,27,21,3,19,4,28,5
9151,6,25,10,30,8,16,14
9150,7,20,4,16,6,19,4
9149,16,18,3,29,22,1,4
9148,15,29,32,22,6,12,10
9147,8,6,32,10,22,18,16
9146,16,9,20,22,33,3,15
9145,11,33,26,3,5,15,11
9144,17,5,18,1,29,10,12
9143,9,28,23,5,11,17,10
9142,20,15,19,24,11,7,13
9141,31,29,13,21,2,28,9
9140,11,33,4,22,18,5,12
9139,29,27,17,5,1,15,2
9138,14,33,7,4,26,32,14
9137,17,14,21,8,15,12,1
9136,30,1,33,22,14,4,1
9135,30,14,1,3,33,19,16
9134,5,15,28,33,12,3,6
9133,13,5,9,32,20,18,1
9132,15,30,4,23,21,14,7
9131,32,25,26,33,23,16,5
9130,30,7,13,3,2,12,11
9129,6,25,16,17,7,24,7
9128,5,15,26,8,32,16,1
9127,2,12,11,16,14,15,4
9126,10,6,3,19,23,5,15
9125,22,26,27,7,6,8,12
9124,30,23,28,4,3,22,10
9123,20,13,22,25,28,9,14
9122,27,32,14,16,29,7,1
9121,6,2,30,10,4,25,9
9120,1,2,8,12,30,16,16
9119,10,12,7,6,15,21,5
9118,27,26,25,12,31,16,5
9117,9,5,21,15,31,26,13
9116,17,27,21,25,32,5,14
9115,2,15,19,24,9,13,3
9114,3,12,31,32,11,5,11
9113,20,25,28,12,29,4,16
9112,30,24,7,32,18,6,9
9111,25,4,15,14,7,2,15
9110,13,4,15,10,30,19,14
9109,14,7,5,6,25,28,1
9108,33,4,10,17,28,32,2
9107,7,28,23,8,20,29,5
9106,20,18,15,29,1,2,4
9105,10,16,2,27,30,8,15
9104,20,32,30,29,22,26,16
9103,24,23,11,20,17,6,9
9102,7,31,5,14,8,3,10
9101,1,10,24,2,5,19,14
9100,30,11,2,17,27,33,11
9099,25,20,8,18,9,29,9
9098,23,15,30,14,20,3,2
9097,28,13,32,26,24,7,14
9096,26,32,33,1,31,27,3
9095,14,28,33,9,8,31,15
9094,3,16,22,33,25,26,14
9093,32,1,20,33,31,11,1
9092,14,31,6,2,7,18,8
9091,14,8,25,11,3,29,4
9090,14,20,23,9,30,7,14
9089,2,32,19,7,11,3,4
9088,7,15,4,11,17,16,2
9087,13,11,6,28,20,32,6
9086,32,12,23,18,11,13,11
9085,20,4,12,17,8,30,3
9084,9,20,32,33,11,4,13
9083,18,24,8,2,28,12,4
9082,15,11,18,21,27,29,2
9081,4,30,6,25,29,5,3
9080,25,32,13,33,1,11,6
9079,2,9,16,30,21,31,13
9078,12,5,7,14,15,20,13
9077,32,1,9,14,28,16,16
9076,28,31,18,9,25,19,6
9075,13,20,1,30,17,15,5
9074,28,10,23,19,5,16,13
9073,16,9,18,27,17,22,14
9072,20,12,21,29,3,1,4
9071,26,4,5,32,31,23,6
9070,10,9,2,31,21,1,10
9069,12,23,3,18,21,5,2
9068,11,30,20,25,6,18,5
9067,4,10,30,28,16,23,5
9066,19,24,15,2,31,32,4
9065,33,8,30,22,20,12,2
9064,23,28,2,14,1,29,15
9063,5,32,30,11,26,2,16
9062,21,32,20,23,10,19,10
9061,16,13,11,19,10,30,3
9060,13,17,7,26,32,33,4
9059,3,7,27,23,30,13,11
9058,8,10,23,5,26,15,9
9057,10,25,7,5,14,17,11
9056,10,32,4,29,18,9,8
9055,29,24,4,3,22,18,11
9054,26,32,23,17,31,16,11
9053,19,28,12,7,22,18,4
9052,11,15,21,30,9,19,8
9051,10,16,23,6,13,21,7
9050,24,30,29,21,13,32,4
9049,30,12,14,9,20,31,6
9048,7,17,11,15,3,31,1
9047,11,6,22,21,15,8,16
9046,21,16,20,29,26,30,9
9045,32,4,30,23,3,6,1
9044,30,11,18,26,16,14,1
9043,26,10,18,4,15,9,7
9042,8,30,22,23,16,27,11
9041,28,23,26,1,8,33,8
9040,4,7,26,10,30,20,12
9039,27,12,14,15,21,5,3
9038,13,12,23,28,15,32,5
9037,18,20,15,6,31,2,3
9036,33,6,9,23,32,18,7
9035,29,26,31,15,6,21,5
9034,21,18,26,12,22,9,7
9033,8,13,7,30,14,29,6
9032,9,12,11,27,32,19,6
9031,3,1,30,2,33,15,1
9030,26,32,24,14,28,8,7
9029,15,13,23,22,29,12,13
9028,3,15,6,23,12,26,10
9027,27,7,16,32,2,11,6
9026,20,17,11,18,15,30,16
9025,20,26,23,22,10,33,11
9024,30,33,1,23,3,17,12
9023,1,15,7,24,6,30,8
9022,11,10,9,18,8,5,8
9021,24,5,17,1,4,27,9
9020,7,3,19,10,23,5,13
9019,26,17,19,27,6,20,4
9018,5,6,30,27,19,2,15
9017,26,15,25,14,19,6,8
9016,13,16,2,7,33,20,3
9015,15,4,32,17,6,2,5
9014,3,15,14,6,18,9,2
9013,8,21,9,4,27,26,9
9012,14,17,5,11,18,28,1
9011,18,23,4,14,2,13,15
9010,17,19,3,20,10,24,2
9009,30,31,33,8,21,15,2
9008,4,33,22,15,16,32,2
9007,25,1,26,12,23,5,15
9006,6,12,33,26,18,20,2
9005,15,1,17,8,21,3,13
9004,28,3,13,17,31,11,3
9003,3,25,15,30,6,2,2
9002,29,33,10,25,17,14,14
9001,4,24,21,31,23,30,4
8154,21,2,5,22,7,26,8
8153,30,18,24,1,21,4,16
8152,30,22,4,26,1,6,8
8151,10,17,8,14,6,19,6
8150,22,24,32,4,29,19,2
8149,14,29,28,33,22,10,2
8148,22,9,26,5,28,3,9
8147,33,22,8,26,7,14,2
8146,7,19,31,32,17,8,10
8145,22,29,18,13,7,26,2
8144,5,10,29,27,33,2,15
8143,18,26,19,12,17,27,6
8142,5,13,17,6,28,10,15
8141,25,13,3,20,29,33,15
8140,30,16,7,31,29,14,14
8139,19,8,23,25,9,26,7
8138,32,25,19,7,14,23,4
8137,4,29,1,33,24,28,9
8136,18,10,28,5,9,12,2
8135,21,16,15,14,5,19,15
8134,32,20,19,10,15,28,2
8133,26,24,8,19,11,16,11
8132,16,13,33,25,27,9,8
8131,32,2,22,18,12,15,8
8130,18,32,28,30,1,12,6
8129,1,24,18,32,3,25,15
8128,1,33,27,5,19,20,5
8127,5,8,30,22,19,27,13
8126,20,4,14,12,11,30,13
8125,15,26,11,29,10,12,9
8124,22,7,21,10,13,1,3
8123,10,16,15,29,25,11,2
8122,14,19,8,11,2,26,15
8121,27,2,22,31,23,32,6
8120,11,24,33,22,10,26,2
8119,9,5,7,29,24,15,7
8118,27,4,31,33,9,16,1
8117,3,33,5,7,10,14,7
8116,3,21,24,22,29,7,14
8115,18,13,17,2,12,14,6
8114,24,25,4,9,20,31,14
8113,6,10,22,9,12,17,9
8112,19,14,13,23,22,5,6
8111,21,18,17,31,25,32,6
8110,16,22,10,29,23,31,2
8109,28,7,4,16,21,9,10
8108,30,15,9,23,17,10,12
8107,13,22,32,18,27,6,4
8106,27,29,30,14,25,19,15
8105,27,19,5,17,28,32,2
8104,31,24,3,6,8,17,1
8103,22,12,33,16,1,18,4
8102,7,32,3,25,12,21,5
8101,26,17,21,30,9,28,4
8100,8,14,21,28,27,17,14
8099,24,23,22,15,16,10,7
8098,11,10,6,7,15,30,1
8097,6,16,17,3,8,9,13
8096,8,6,27,24,12,31,14
8095,8,14,21,29,28,3,3
8094,28,1,15,23,16,4,14
8093,26,16,4,10,12,28,7
8092,28,27,30,18,3,1,5
8091,31,23,3,12,14,32,10
8090,14,19,2,24,18,7,1
8089,22,27,3,16,11,6,11
8088,6,17,8,23,16,1,5
8087,30,1,29,31,7,26,6
8086,27,10,26,30,4,5,12
8085,24,1,20,12,4,29,15
8084,20,13,4,30,7,29,16
8083,9,29,7,8,18,32,9
8082,8,4,26,21,10,12,9
8081,25,31,18,13,12,2,4
8080,14,4,25,29,22,32,14
8079,32,5,20,4,3,10,9
8078,13,30,16,26,33,6,1
8077,30,26,4,12,33,22,9
8076,18,11,5,13,7,2,11
8075,18,22,1,14,30,8,3
8074,24,19,15,11,20,1,9
8073,22,13,28,33,9,1,8
8072,18,1,5,22,10,30,9
8071,21,1,26,27,6,28,9
8070,12,33,6,15,18,5,13
8069,8,5,26,17,20,30,10
8068,5,23,29,17,7,27,7
8067,19,11,10,26,33,15,13
8066,7,21,22,30,12,29,8
8065,13,30,19,31,15,5,5
8064,1,12,7,2,9,18,12
8063,14,9,5,17,11,16,15
8062,17,24,27,6,13,8,15
8061,2,5,12,1,31,26,6
8060,32,30,6,8,17,7,3
8059,6,15,2,32,29,31,16
8058,27,21,12,31,1,29,11
8057,28,20,30,21,19,26,8
8056,8,30,22,23,13,25,7
8055,26,16,23,11,19,31,4
8054,2,16,17,25,6,20,7
8053,21,12,19,20,6,27,4
8052,31,2,29,23,10,17,10
8051,4,8,1,13,10,33,11
8050,27,11,1,26,19,24,3
8049,13,3,10,25,12,19,4
8048,30,27,32,11,21,18,1
8047,14,22,13,12,9,20,10
8046,16,18,28,24,33,15,15
8045,21,10,32,13,1,29,4
8044,26,9,29,5,20,7,9
8043,33,16,22,10,27,3,14
8042,12,9,24,4,3,11,1
8041,27,22,20,23,11,8,4
8040,25,22,27,6,28,13,9
8039,7,13,1,10,22,29,1
8038,10,3,9,11,19,15,13
8037,1,22,12,31,24,28,6
8036,18,2,28,23,6,13,16
8035,18,7,29,14,11,17,16
8034,3,29,5,9,21,11,9
8033,18,30,33,12,17,31,4
8032,14,21,28,16,23,5,13
8031,6,31,21,3,11,15,13
8030,15,28,18,19,20,6,11
8029,9,1,14,22,29,32,12
8028,26,1,32,29,13,21,10
8027,18,23,24,26,19,15,13
8026,5,29,17,19,32,27,3
8025,17,8,21,19,16,18,14
8024,28,20,26,30,11,21,13
8023,18,25,32,8,16,26,2
8022,28,24,32,12,20,18,5
8021,12,26,20,28,19,9,15
8020,28,30,15,10,3,13,3
8019,31,9,11,2,17,27,5
8018,33,23,6,5,2,26,13
8017,20,22,2,7,17,5,2
8016,14,3,21,29,12,33,13
8015,33,8,6,29,11,16,3
8014,11,31,3,21,17,9,14
8013,28,8,2,15,16,22,10
8012,20,5,3,16,4,30,13
8011,17,14,30,21,32,2,3
8010,3,8,27,17,21,11,9
8009,21,31,32,9,30,29,16
8008,2,16,27,15,23,26,7
8007,30,22,13,17,23,1,11
8006,18,27,14,22,16,1,14
8005,3,24,25,22,15,5,15
8004,29,27,8,4,23,22,8
8003,17,8,6,13,11,19,12
8002,4,18,22,25,3,29,9
8001,14,29,4,9,7,2,3
7153,4,1,31,20,19,25,15
7152,30,17,21,29,11,33,8
7151,11,23,6,25,10,1,2
7150,13,11,3,5,24,19,5
7149,1,19,30,28,17,22,3
7148,28,3,17,16,23,9,7
7147,24,26,18,7,3,27,4
7146,18,4,30,24,22,26,9
7145,31,11,25,9,8,12,11
7144,8,28,14,32,25,23,16
7143,24,26,22,1,23,6,4
7142,30,25,20,26,11,27,8
7141,3,31,6,2,17,4,8
7140,1,5,22,26,16,21,11
7139,6,16,14,10,22,12,6
7138,25,17,19,3,2,15,16
7137,20,8,22,7,18,3,3
7136,25,1,18,2,21,29,14
7135,11,16,1,31,33,26,16
7134,1,10,4,18,13,25,15
7133,6,33,13,11,7,3,10
7132,22,23,1,21,9,16,5
7131,5,22,7,3,27,16,5
7130,5,9,31,27,3,11,4
7129,7,20,22,21,5,30,8
7128,27,21,31,19,10,9,5
7127,28,13,9,24,16,6,11
7126,31,26,10,19,9,23,9
7125,5,33,3,27,18,20,1
7124,19,3,32,7,13,16,16
7123,28,1,23,13,15,32,2
7122,7,4,32,24,26,19,9
7121,21,3,28,22,10,27,6
7120,12,7,18,11,6,25,1
7119,31,8,25,3,11,13,12
7118,32,18,4,25,16,10,15
7117,32,7,26,10,9,3,1
7116,11,5,7,27,17,3,13
7115,16,20,1,26,10,5,2
7114,27,12,15,5,33,24,5
7113,18,23,31,25,26,4,10
7112,16,7,32,14,25,11,11
7111,17,9,12,13,2,10,11
7110,7,4,15,28,2,24,3
7109,1,7,14,13,4,8,4
7108,33,12,7,20,13,3,2
7107,28,9,8,2,24,18,10
7106,12,18,21,24,25,29,8
7105,17,7,10,29,23,2,14
7104,20,8,12,14,32,2,4
7103,25,7,27,32,30,9,1
7102,18,8,33,6,4,20,11
7101,18,16,15,22,30,21,14
7100,18,27,29,30,32,8,6
7099,31,3,33,4,27,14,5
7098,3,2,19,11,5,20,12
7097,4,13,26,18,30,8,11
7096,32,22,10,9,20,30,8
7095,8,6,32,18,1,29,7
7094,19,3,24,18,5,32,2
7093,13,5,10,19,29,15,2
7092,24,14,23,18,22,33,9
7091,30,11,32,17,31,2,7
7090,30,31,27,5,13,11,2
7089,19,28,8,7,3,15,3
7088,28,2,33,4,10,29,6
7087,21,3,5,4,8,1,9
7086,8,5,29,27,22,14,16
7085,30,2,29,19,17,12,12
7084,14,20,12,6,27,10,10
7083,14,21,11,18,26,20,5
7082,32,17,5,15,25,18,15
7081,24,33,19,15,9,14,13
7080,18,8,29,16,1,19,4
7079,20,25,3,14,21,4,14
7078,7,23,4,6,25,32,1
7077,14,28,6,8,21,29,2
7076,6,16,15,12,20,31,2
7075,17,22,32,13,16,30,3
7074,28,13,27,25,15,8,3
7073,11,28,5,31,9,19,2
7072,4,13,14,33,2,8,16
7071,1,14,21,31,6,30,9
7070,18,30,15,6,17,8,12
7069,32,12,4,3,14,11,12
7068,23,18,19,11,28,22,1
7067,11,13,23,6,21,17,11
7066,32,33,11,24,16,5,8
7065,21,19,31,25,7,4,7
7064,21,9,2,23,6,16,16
7063,15,28,24,17,10,26,12
7062,30,8,17,20,33,29,9
7061,7,11,20,6,23,1,5
7060,29,8,19,1,2,16,5
7059,4,1,3,6,29,7,14
7058,25,8,10,7,13,27,7
7057,19,11,18,20,21,5,9
7056,32,21,31,14,17,29,12
7055,28,29,22,2,6,11,2
7054,28,16,18,23,3,1,5
7053,13,17,18,16,27,10,11
7052,3,2,8,7,26,29,7
7051,14,33,3,27,26,16,13
7050,25,13,18,5,1,8,2
7049,4,33,19,31,14,18,2
7048,2,12,11,17,28,15,12
7047,4,23,16,2,18,30,6
7046,6,19,26,9,7,2,14
7045,28,12,30,21,18,1,10
7044,9,24,21,20,13,32,8
7043,3,30,10,14,11,8,5
7042,19,3,32,16,13,33,8
7041,3,9,31,26,1,11,12
7040,19,30,14,13,24,15,10
7039,27,24,7,6,29,19,1
7038,11,30,21,3,14,19,5
7037,23,10,11,31,16,33,16
7036,3,21,23,14,30,31,10
7035,31,1,29,12,8,4,6
7034,14,2,9,12,25,23,16
7033,18,4,3,17,11,28,9
7032,8,16,32,24,4,30,16
7031,4,19,12,6,31,10,1
7030,30,16,27,22,3,21,4
7029,19,6,8,21,11,9,10
7028,3,20,13,30,8,29,11
7027,24,22,3,9,27,2,11
7026,16,4,29,14,26,1,10
7025,18,26,3,22,16,23,3
7024,27,25,9,17,32,8,6
7023,13,33,3,7,17,32,2
7022,7,10,27,2,18,4,10
7021,11,25,3,6,31,9,13
7020,20,5,31,10,28,16,14
7019,23,11,31,4,29,16,14
7018,26,21,20,1,12,18,11
7017,25,9,24,10,5,32,14
7016,18,1,22,20,26,33,5
7015,4,30,3,22,18,8,15
7014,24,13,16,1,20,26,9
7013,5,32,27,15,29,18,5
7012,5,3,28,21,26,7,4
7011,3,33,25,28,15,10,16
7010,32,30,17,8,14,3,5
7009,15,4,27,2,25,14,15
7008,4,25,18,5,19,1,10
7007,32,15,4,17,22,12,14
7006,27,14,6,22,26,10,11
7005,6,24,16,1,5,30,12
7004,25,3,33,7,10,13,10
7003,5,22,9,27,11,12,15
7002,22,20,6,14,21,5,1
7001,26,2,20,10,9,4,14
6154,7,18,14,30,20,33,13
6153,30,33,1,20,11,7,10
6152,1,20,25,31,14,27,15
